row,brand,domain,category,url
2,A Diabetic Chef,adiabeticchef.com,Food & Beverages,https://adiabeticchef.com/
3,Aadar,aadar.co,Health & Wellness,https://www.aadar.co/
4,Aadvik,aadvikfoods.com,Food & Beverages,https://aadvikfoods.com/
6,ACWO,acwo.com,Electronics,https://acwo.com/
7,AIHIKI,aihiki.com.au,Food & Beverages,https://www.aihiki.com.au/
8,AILKIN,ailkinchargers.com,Electronics,https://ailkinchargers.com/
9,AirCase,aircase.in,Accessories,https://aircase.in/
11,AJMAL,ajmalperfume.com,Personal Care,https://www.ajmalperfume.com/
14,Alpino,alpino.store,Food & Nutrition,https://www.alpino.store/
15,Alt Co,alt.company,Food & Beverage,https://www.alt.company/
17,Ambriona Gourmet Food,ambriona.com,Food & Gourmet,https://www.ambriona.com/
18,AMKETTE,amkette.com,Electronics,https://www.amkette.com/
20,Anveshan,anveshan.farm,Food & Wellness,https://www.anveshan.farm/
22,ARAKU Coffee,arakucoffee.in,Food & Beverages,https://www.arakucoffee.in/
25,Arctic Fox,arcticfox.com,Fashion & Travel,https://www.arcticfox.com/
31,Atomberg,atomberg.com,Home Appliances,https://www.atomberg.com/
34,Auric,theauric.com,Ayurvedic Beverages,https://www.theauric.com/
37,Azafran,azafran.in,Organic Personal Care,https://www.azafran.in/
38,Bacca Bucci,baccabucci.com,Footwear,https://www.baccabucci.com/
39,BALENZIA,balenzia.com,Apparel,https://www.balenzia.com/
41,Bare Anatomy,bareanatomy.in,Personal Care,https://www.bareanatomy.in/
43,Bartisans,bartisans.in,Beverages,https://www.bartisans.in/
45,BBETTER,bbetter.in,Health & Wellness,https://bbetter.in/
46,Beanly,beanlycoffee.com,Beverages,https://beanlycoffee.com/
47,Beardhood,beardhood.in,Grooming,https://www.beardhood.in/
48,Beardo,beardo.in,Grooming,https://www.beardo.in/
49,beatXP,beatxp.com,Fitness & Wellness,https://www.beatxp.com/
50,Bechef,bechef.in,Food & Beverages,https://www.bechef.in/
53,BELLA VITA,bellavitaorganic.com,Personal Care,https://bellavitaorganic.com/
54,Bersache,bersache.com,Footwear,https://www.bersache.com/
55,beurer,beurerindia.com,Health Appliances,https://www.beurerindia.com/
56,BEVZILLA,bevzilla.co.in,Beverages,https://www.bevzilla.co.in/
57,Bewakoof,bewakoof.com,Fashion & Apparel,https://www.bewakoof.com/
58,Beyond Water,beyondwater.in,Beverages,https://beyondwater.in/
59,Big Muscles,bigmusclesnutrition.com,Fitness & Nutrition,https://www.bigmusclesnutrition.com/
60,Bigsmall,bigsmall.in,Gifting & Novelties,https://www.bigsmall.in/
62,Blue Tea,bluetea.co.in,Food & Beverage,https://www.bluetea.co.in/
63,boAt,boat-lifestyle.com,Electronics,https://www.boat-lifestyle.com/
64,Body Cupid,bodycupid.com,Personal Care,https://bodycupid.com/
66,Boho Botanist,bohobotanist.com,Personal Care,https://bohobotanist.com/
68,Bold Care,boldcare.in,Men's Health,https://www.boldcare.in/
69,Boldfit,boldfit.in,Fitness & Wellness,https://www.boldfit.in/
70,Bombay Shaving Company,bombayshavingcompany.com,Grooming,https://www.bombayshavingcompany.com/
71,Bonjour,bonjourretail.com,Apparel,https://www.bonjourretail.com/
73,Boult,boultaudio.com,Electronics,https://www.boultaudio.com/
75,Brillare,brillare.co.in,Personal Care,https://www.brillare.co.in/
76,CALCUTTA CHAI CO,calcuttachaico.com,Beverages,https://calcuttachaico.com/
77,Callmate,callmateindia.com,Electronics,https://callmateindia.com/
80,CamPure,cam-pure.com,Home Fragrance,https://www.cam-pure.com/
81,Campus Sutra,campussutra.com,Fashion & Apparel,https://www.campussutra.com/
82,Caresmith,caresmith.in,Personal Wellness,https://www.caresmith.in/
83,Carlington,carlington.in,Fashion & Accessories,https://www.carlington.in/
84,Carlton London,carltonlondon.com,Footwear,https://www.carltonlondon.com/
86,Carote,carote.in,Kitchenware,https://www.carote.in/
87,CARRIALL,carriall.com,Travel Accessories,https://www.carriall.com/
90,Cellecor,cellecor.in,Electronics,https://www.cellecor.in/
92,Chai Craft,chaicraft.in,Beverages,https://chaicraft.in/
94,Chemist at Play,chemistatplay.com,Skincare,https://www.chemistatplay.com/
95,CHKOKKO,chkokko.com,Fashion & Apparel,https://www.chkokko.com/
96,CHRISTOPHER COCOA,christophercocoa.com,Confectionery,https://www.christophercocoa.com/
100,cocosutra,cocosutra.com,Food & Beverages,https://www.cocosutra.com/
101,COLUMBIAN BREW COFFEE,colombianbrew.com,Beverages,https://colombianbrew.com/
102,Conscious Chemist,consciouschemist.com,Personal Care,https://www.consciouschemist.com/
103,CONSCIOUS FOOD,consciousfood.com,Health Foods,https://www.consciousfood.com/
105,Cookieman,cookiemanindia.com,Confectionery,https://cookiemanindia.com/
107,COSIQ,cosiq.in,Skincare,https://www.cosiq.in/
108,Country Bean,countrybean.in,Beverages,https://www.countrybean.in/
109,Cover It Up,coveritup.com,Phone Accessories,https://www.coveritup.com/
111,CULT,cult.fit,Fitness & Wellness,https://www.cult.fit/
112,CURRYiT,curryit.in,Food & Beverages,https://www.curryit.in/
113,Damensch,damensch.com,Fashion & Apparel,https://www.damensch.com/
114,DECONSTRUCT,thedeconstruct.com,Skincare,https://www.thedeconstruct.com/
116,Delonghi,delonghi.com,Appliances,https://www.delonghi.com/en-in
118,detoxie,detoxie.in,Personal Care,https://detoxie.in/
119,DIDIER & FRANK,didierandfrank.com,Confectionery,https://www.didierandfrank.com/
121,Disguise Consmetics,disguisecosmetics.com,Cosmetics,https://www.disguisecosmetics.com/
124,Dr Vaidya's,drvaidyas.com,Ayurveda & Health,https://www.drvaidyas.com/
125,Dr. Morepen,morepen.com,Healthcare,https://www.morepen.com/
126,Dr. Odin,drodin.in,Healthcare Devices,https://www.drodin.in/
128,Durex,durexindia.com,Personal Care,https://www.durexindia.com/
129,EARTHEN STORY,earthenstory.in,Lifestyle & Decor,https://earthenstory.in/
130,eat Any Time,eatanytime.in,Snacks & Nutrition,https://eatanytime.in/
131,Ecolink,ecolinkindia.com,Lighting & Electronics,https://ecolinkindia.com/
134,Elitty,elittybeauty.com,Cosmetics,https://elittybeauty.com/
138,Eume,eumeworld.com,Travel Accessories,https://www.eumeworld.com/
140,Evocus,evocuswater.com,Beverages,https://evocuswater.com/
141,Evolve Snacks,evolvesnacks.com,Snacks,https://www.evolvesnacks.com/
143,ExclusiveLane,exclusivelane.com,Handicrafts & Decor,https://exclusivelane.com/
146,Fabessentials,fabessentials.com,Personal Care,https://www.fabessentials.com/
147,Farmley,farmley.com,Food & Dry Fruits,https://www.farmley.com/
149,fingers,fingerelectronics.com,Electronics,https://www.fingerelectronics.com/
150,Fit & Flex,fitandflex.com,Health Foods,https://www.fitandflex.com/
154,Flo Mattress,flomattress.com,Home & Living,https://www.flomattress.com/
157,Flyberry,flyberry.in,Dry Fruits,https://flyberry.in/
158,ForMen,formen.health,Men's Health,https://www.formen.health/
159,Foxin,foxin.in,Electronics,https://www.foxin.in/
160,Freecultr,freecultr.com,Apparel,https://www.freecultr.com/
164,frido,frido.in,Health & Comfort,https://frido.in/
165,Gaia,gaia.in,Health & Wellness,https://www.gaia.in/
166,Gear,gear.in,Bags & Accessories,https://www.gear.in/
168,GIVA,giva.co,Jewelry,https://www.giva.co/
169,Gizmore,gizmore.in,Electronics,https://www.gizmore.in/
170,GladFul,gladful.in,Food & Nutrition,https://gladful.in/
171,GNC,gncindia.in,Health Supplements,https://www.gncindia.in/
172,GO DESi,godesi.in,Food & Snacks,https://www.godesi.in/
173,GoMechanic,gomechanic.in,Auto Services,https://www.gomechanic.in/
175,Grainic,grainic.com,Food & Nutrition,https://www.grainic.com/
177,GUBB,gubbworld.com,Personal Care,https://www.gubbworld.com/
180,Hammer,hammeronline.in,Electronics,https://hammeronline.in/
181,Happilo,happilo.com,Food & Dry Fruits,https://www.happilo.com/
183,Happy Karma,happykarma.in,Health & Nutrition,https://happykarma.in/
185,Health vit,healthvit.com,Health Supplements,https://www.healthvit.com/
186,HealthifyMe,healthifyme.com,Fitness App,https://www.healthifyme.com/
187,Healthkart,healthkart.com,Health Supplements,https://www.healthkart.com/
188,Healthy Treat,healthytreat.co,Food & Snacks,https://healthytreat.co/
192,Hidelink,hidelink.in,Leather Accessories,https://hidelink.in/
193,HIMALAYAN NATIVES,himalayannatives.com,Natural Foods,https://www.himalayannatives.com/
195,Home Puff,homepuff.com,Kitchenware,https://www.homepuff.com/
199,Honey & Spice,honeyandspice.in,Food & Beverages,https://honeyandspice.in/
200,Honey Twigs,honeytwigs.co,Food & Beverages,https://honeytwigs.co/
202,HP,hp.com,Electronics,https://www.hp.com/in-en/home.html
203,HRX Beverages,hrxbrand.com,Beverages,https://www.hrxbrand.com/
204,Hummel,hummel.net.in,Apparel & Footwear,https://hummel.net.in/
208,Indalo,indaloliving.com,Home & Living,https://www.indaloliving.com/
209,INDIC WISDOM,indicwisdom.com,Food & Beverages,https://indicwisdom.com/
213,InSkinn,inskinn.in,Skincare,https://inskinn.in/
214,INVOLVE,involveyourself.com,Car Fragrances,https://involveyourself.com/
218,Jivika Organics,jivikaorganics.com,Organic Foods,https://www.jivikaorganics.com/
219,John Jacobs Eyewear,johnjacobseyewear.com,Eyewear,https://www.johnjacobseyewear.com/
220,July,julyonline.in,Personal Care,https://julyonline.in/
221,JUST HERBS,justherbs.in,Herbal Beauty,https://www.justherbs.in/
223,Just Pressed,justpressed.in,Beverages,https://justpressed.in/
225,Kadence,kadence.in,Musical Instruments,https://kadence.in/
227,Kalakaram,kalakaram.com,Kids Activities,https://www.kalakaram.com/
228,Kapiva,kapiva.in,Ayurveda & Nutrition,https://www.kapiva.in/
231,Keeros,keeros.in,Health Foods,https://www.keeros.in/
233,Khadi Essentials,khadiessentials.com,Herbal Personal Care,https://www.khadiessentials.com/
234,Khari Foods,kharifoods.com,Food & Beverages,https://www.kharifoods.com/
235,kikibix,kikibix.com,Snacks & Foods,https://www.kikibix.com/
238,KLEIO,kleio.in,Bags & Accessories,https://www.kleio.in/
239,Klub Fox,klubfox.com,Fashion & Apparel,https://www.klubfox.com/
241,KOJO,kojo.in,Footwear,https://www.kojo.in/
242,Korebi Coffee,korebicoffee.com,Beverages,https://www.korebicoffee.com/
244,Ktein,kteinindia.in,Haircare,https://www.kteinindia.in/
245,Kyari,kyari.co.in,Home Decor,https://kyari.co.in/
246,L.A. Colors,lacolors.com,Cosmetics,https://www.lacolors.com/
247,L.A. Girl,lagirlusa.com,Cosmetics,https://www.lagirlusa.com/
248,La French,lafrenchperfumes.com,Fragrance,https://lafrenchperfumes.com/
249,LA'FORTE,laforte.in,Home Appliances,https://www.laforte.in/
250,LACTO CALAMINE,lactocalamine.in,Skincare,https://www.lactocalamine.in/
252,LAMEL,lamelbeauty.com,Cosmetics,https://lamelbeauty.com/
255,LAZY COCKTAILS,lazycocktails.com,Beverages,https://lazycocktails.com/
256,Leafy Tales,leafytales.in,Gardening & Decor,https://leafytales.in/
257,lenskart BLU,lenskart.com,Eyewear,https://www.lenskart.com/
258,Lifelong,lifelongindiaonline.com,Home & Kitchen,https://www.lifelongindiaonline.com/
259,Litmus,litmusworld.com,Business Services,https://www.litmusworld.com/
260,Little Trees,littletrees.com,Air Fresheners,https://www.littletrees.com/
261,Little's,littles.in,Baby Care,https://www.littles.in/
263,Local Sparrow,localsparrow.in,Food & Grocery,https://localsparrow.in/
265,Longway,longwayindia.com,Home Appliances,https://longwayindia.com/
266,Louis Stitch,louisstitch.com,Footwear & Apparel,https://www.louisstitch.com/
268,Luminarc,luminarc.com,Tableware,https://www.luminarc.com/
271,Makeup Revolution,revolutionbeauty.in,Cosmetics,https://revolutionbeauty.in/
272,MAN ARDEN,manarden.com,Men's Grooming,https://www.manarden.com/
273,MANCODE,mancode.co.in,Men's Grooming,https://www.mancode.co.in/
275,mars by GHC,ghc.health,Men's Wellness,https://ghc.health/
276,MARYAJ,maryaj.com,Fragrance,https://maryaj.com/
278,McLeod Russel 1869,mcleodrussel.com,Tea,https://mcleodrussel.com/
281,Mellow,mellow.store,Skincare,https://mellow.store/
282,Menhood,menhood.in,Men's Grooming,https://menhood.in/
285,Ministry of Nuts,ministryofnuts.in,Dry Fruits & Snacks,https://www.ministryofnuts.in/
286,Mint & Oak,mintandoak.in,Fashion Accessories,https://www.mintandoak.in/
287,MIVI,mivi.in,Electronics,https://www.mivi.in/
288,Mo's Bakery,mosbakery.com,Bakery & Snacks,https://mosbakery.com/
289,Modern Crew,moderncrew.in,Men's Apparel,https://www.moderncrew.in/
290,MOI SOI,moisoi.in,Food & Ready Meals,https://moisoi.in/
291,Mojo Bar,mojobar.com,Snacks & Nutrition,https://www.mojobar.com/
292,Monk Story,monkstory.com,Eyewear & Accessories,https://www.monkstory.com/
294,morning fresh,morningfresh.in,Health Drink,https://www.morningfresh.in/
295,Mr Makhana,mrmakhana.com,Snacks,https://www.mrmakhana.com/
297,MUSCLE XP,musclexp.com,Health Supplements,https://www.musclexp.com/
298,MYFITNESS,myfitness.in,Health & Peanut Butter,https://www.myfitness.in/
302,nat Habit,nathabit.in,Beauty & Wellness,https://www.nathabit.in/
305,NATURELAND ORGANICS,naturelandorganics.com,Organic Food,https://naturelandorganics.com/
307,Naturoz,naturoz.in,Dry Fruits & Snacks,https://www.naturoz.in/
308,NAVVAYD,navvayd.com,Tea & Beverages,https://navvayd.com/
309,NEEMAN'S,neemans.com,Footwear,https://www.neemans.com/
310,Nestasia,nestasia.in,Home Decor,https://nestasia.in/
311,Nestroots,nestroots.com,Home & Kitchen,https://www.nestroots.com/
313,Nobero Fashion,nobero.com,Fashion & Apparel,https://nobero.com/
314,NOISE,gonoise.com,Electronics & Wearables,https://www.gonoise.com/
316,nourish vitals,nourishvitals.com,Health Foods,https://www.nourishvitals.com/
317,nourish you,nourishyou.in,Superfoods,https://nourishyou.in/
319,Nua Woman,nuawoman.com,Women's Health,https://nuawoman.com/
322,NUTRIBEARS,nutribears.in,Kids Nutrition,https://nutribears.in/
323,Nutriburst,nutriburst.in,Vitamins & Supplements,https://nutriburst.in/
324,NutriGlow,nutriglowcosmetics.com,Beauty & Skincare,https://www.nutriglowcosmetics.com/
328,Nutty Gritties,nuttygritties.com,Dry Fruits & Snacks,https://www.nuttygritties.com/
329,NUTTY YOGI,nuttyyogi.com,Health Foods,https://nuttyyogi.com/
331,Nyumi,nyumi.com,Women's Health & Supplements,https://nyumi.com/
332,Octavius,octavius.in,Tea & Beverages,https://www.octavius.in/
335,Omay Foods,omayfoods.com,Healthy Snacks,https://www.omayfoods.com/
336,Optimum Nutrition,optimumnutrition.com,Health Supplements,https://www.optimumnutrition.com/en-in
337,Oracura,oracura.in,Oral Care,https://oracura.in/
338,Oraimo,oraimo.com,Electronics & Accessories,https://www.oraimo.com/
340,ORGANIC INDIA,organicindia.com,Organic Wellness,https://www.organicindia.com/
341,organic ROOTS,organicroots.in,Organic Food,https://organicroots.in/
344,Oye Happy,oyehappy.com,Gifting,https://www.oyehappy.com/
345,Ozone,ozoneayurvedics.com,Personal Care,https://www.ozoneayurvedics.com/
346,PANSARI,pansarimasala.com,Spices & Foods,https://www.pansarimasala.com/
347,Park+,parkplus.io,Automobile Services,https://www.parkplus.io/
348,Pebble,gadgetsofpebble.com,Electronics,https://www.gadgetsofPebble.com/
349,Pee Safe,peesafe.com,Personal Hygiene,https://www.peesafe.com/
350,pepe jeans,pepejeans.in,Fashion & Apparel,https://www.pepejeans.in/
351,Perfora,perforacare.com,Oral Care,https://www.perforacare.com/
354,PHAB,getphab.com,Health & Nutrition,https://www.getphab.com/
355,PHILLIPS,philips.co.in,Consumer Electronics,https://www.philips.co.in/
357,Pigment Play,pigmentplay.com,Cosmetics,https://www.pigmentplay.com/
358,Pintola,pintola.in,Health & Nutrition,https://www.pintola.in/
359,Plaeto,plaeto.in,Footwear,https://www.plaeto.in/
360,plattered,plattered.in,Gourmet Food,https://plattered.in/
361,PlixLife,plixlife.com,Health & Wellness,https://www.plixlife.com/
362,Plush,plushforher.com,Personal Care,https://www.plushforher.com/
363,Pod Nutrition,podnutrition.com,Health & Supplements,https://podnutrition.com/
364,Polka Pop,polkapop.in,Beverages,https://polkapop.in/
365,Popcorn & company,popcornandcompany.com,Snacks,https://www.popcornandcompany.com/
366,Portronics,portronics.com,Electronics,https://www.portronics.com/
367,Prolixr,prolixr.com,Skincare,https://prolixr.com/
368,PROTOUCH,protouchskin.com,Skincare,https://protouchskin.com/
369,pTron,ptron.in,Electronics,https://www.ptron.in/
370,Pure Nutrition,purenutrition.me,Health & Wellness,https://purenutrition.me/
371,Purna Gummies,purnanutrition.com,Vitamins & Supplements,https://purnanutrition.com/
372,QIDHAN,qidhan.com,Organic Foods,https://qidhan.com/
373,Qubo,quboworld.com,Smart Devices,https://www.quboworld.com/
375,RAEGR,raegr.com,Electronics,https://www.raegr.com/
376,Rage Coffee,ragecoffee.com,Beverages,https://www.ragecoffee.com/
377,Rasayanam,rasayanam.in,Ayurveda & Wellness,https://rasayanam.in/
378,Red Tape,redtape.com,Fashion & Footwear,https://www.redtape.com/
379,RENEE,renee.in,Cosmetics,https://www.renee.in/
380,Rey Naturals,reynaturals.com,Haircare,https://www.reynaturals.com/
381,Richlook,richlook.in,Fashion & Apparel,https://www.richlook.in/
382,Ritualistic,ritualistic.in,Skincare & Wellness,https://ritualistic.in/
385,Roasty Tasty,roastytasty.in,Snacks,https://roastytasty.in/
386,Robustt,robustt.in,Health & Safety,https://robustt.in/
388,Roxx,roxx.in,Kitchenware,https://www.roxx.in/
390,RUBAB MEN,rubab.in,Men's Grooming,https://rubab.in/
391,Rusabl,rusabl.com,Sustainable Products,https://rusabl.com/
392,SAADAA,saadaa.in,Personal Care,https://saadaa.in/
393,Salt Lifestyle,saltattire.com,Fashion & Apparel,https://saltattire.com/
395,Sam & Marshall,samandmarshall.com,Footwear,https://samandmarshall.com/
396,Samsung,samsung.com,Electronics,https://www.samsung.com/in/
397,Sanfe,sanfe.in,Personal Hygiene,https://sanfe.in/
400,Secret Alchemist,secretalchemist.com,Aromatherapy,https://www.secretalchemist.com/
401,SESA,sesa.care,Haircare,https://www.sesa.care/
406,ShineXPro,shinexpro.in,Electronics,https://www.shinexpro.in/
407,Simply Vedic,simplyvedic.com,Health & Wellness,https://simplyvedic.com/
409,SKIN ELEMENTS,skinelements.in,Personal Care,https://skinelements.in/
410,Skinella,skinella.com,Skincare,https://skinella.com/
411,SKIPPI,skippi.in,Food & Beverages,https://skippi.in/
412,SKORE,skorecondoms.com,Personal Care,https://www.skorecondoms.com/
413,SKYVIK,skyvik.in,Electronics & Accessories,https://skyvik.in/
414,Snack Amor,snackamor.com,Snacks,https://www.snackamor.com/
416,SnacQ,snacq.in,Snacks,https://snacq.in/
417,SNEAKARE,sneakare.com,Shoe Care & Accessories,https://sneakare.com/
418,Snitch,snitch.co.in,Men's Fashion,https://snitch.co.in/
419,SOCIETY,societytea.com,Tea & Beverages,https://www.societytea.com/
420,Softspun,softspun.in,Home Essentials,https://softspun.in/
421,SOLARA,solara.in,Home & Kitchen,https://solara.in/
422,SOLETHREADS,solethreads.com,Footwear,https://www.solethreads.com/
423,Sotrue,sotrue.in,Nutrition,https://sotrue.in/
425,Soulflower,soulflower.in,Beauty & Wellness,https://soulflower.in/
426,Sounce,sounce.com,Electronics,https://sounce.com/
427,Sova Health,sova.health,Health,https://www.sova.health/
431,Story@Home,storyathome.com,Home Furnishing,https://storyathome.com/
432,STRAUSS,strausssport.com,Fitness Equipment,https://strausssport.com/
433,STRIFF,striff.in,Electronics,https://striff.in/
437,SunScoop,thesunscoop.com,Skincare,https://www.thesunscoop.com/
438,Supa,getsupa.com,Personal Care,https://www.getsupa.com/
439,Supply6,supply6.com,Nutrition,https://supply6.com/
440,Swa Artisanal Syrups,drinkswa.com,Beverages,https://www.drinkswa.com/
441,Swiss Military,swissmilitaryindia.com,Fashion & Lifestyle,https://www.swissmilitaryindia.com/
442,Syska,syska.co.in,Electronics,https://www.syska.co.in/
443,TAC - The Ayurveda Co.,theayurvedaco.com,Ayurveda & Skincare,https://theayurvedaco.com/
444,TATA Sampann,tatasampann.com,Food & Spices,https://www.tatasampann.com/
445,TATA Simply Better,tatasimplybetter.com,Food & Nutrition,https://www.tatasimplybetter.com/
448,Tea n Petals,teanpetals.com,Tea & Beverages,https://teanpetals.com/
449,Tea Origin,teaorigin.in,Tea & Beverages,https://teaorigin.in/
450,TEAKWOOD,teakwoodleathers.com,Fashion & Accessories,https://www.teakwoodleathers.com/
451,Tearaja,tearaja.com,Tea & Beverages,https://tearaja.com/
452,Technosport,technosport.in,Athleisure,https://technosport.in/
454,Textur,textur.in,Haircare,https://www.textur.in/
455,TGL Co.,tglcompany.com,Tea & Beverages,https://www.tglcompany.com/
456,THE ARTMENT,theartment.com,Home Decor,https://www.theartment.com/
457,The Baklava Box,thebaklavabox.com,Food & Gourmet,https://www.thebaklavabox.com/
458,THE BATH STORE,thebathstore.in,Home & Bath,https://thebathstore.in/
459,The Beard Story,thebeardstory.com,Men's Grooming,https://thebeardstory.com/
460,The Bleu Label,thebleulabel.com,Fashion,https://thebleulabel.com/
461,The Butternut Co.,butternutco.in,Health Food,https://butternutco.in/
462,The CLOWNFISH,theclownfish.com,Bags & Accessories,https://theclownfish.com/
463,the cube club,thecubeclub.com,Fitness & Wellness,https://www.thecubeclub.com/
464,THE DAILY NUT CO.,dailynut.com,Dry Fruits & Snacks,https://dailynut.com/
466,The Honest Home Company,thehonesthomeco.in,Home Essentials,https://thehonesthomeco.in/
467,The Indian Chai,theindianchai.com,Tea & Wellness,https://www.theindianchai.com/
468,The Indian Garage Co,tigc.in,Fashion,https://tigc.in/
469,The June Shop,thejuneshop.com,Lifestyle & Gifting,https://thejuneshop.com/
470,The Man Company,themancompany.com,Men's Grooming,https://www.themancompany.com/
471,The Messy Corner,themessycorner.in,Personalized Gifting,https://www.themessycorner.in/
472,the natural wash,thenaturalwash.com,Personal Care,https://www.thenaturalwash.com/
474,The Skin Story,theskinstory.in,Skincare,https://www.theskinstory.in/
475,The Sleep Company,thesleepcompany.in,Mattresses & Sleep,https://thesleepcompany.in/
477,The Sweet Blend,thesweetblend.com,Food & Sweets,https://thesweetblend.com/
479,The White Willow,thewhitewillow.in,Health & Wellness,https://www.thewhitewillow.in/
480,The Whole Truth,thewholetruthfoods.com,Food & Nutrition,https://thewholetruthfoods.com/
481,Thela Gaadi,thelagaadi.com,Fashion,https://thelagaadi.com/
482,Themisto,themisto.in,Electronics,https://themisto.in/
483,ThriveCo,thriveco.in,Haircare & Skincare,https://www.thriveco.in/
484,Tijori,tijoriclub.com,Gifting & Decor,https://tijoriclub.com/
485,Tizum,tizum.com,Accessories & Electronics,https://tizum.com/
486,To Be Honest - TBH,tobhonest.in,Snacks,https://tobhonest.in/
487,Toska,toskachocolates.com,Chocolates,https://toskachocolates.com/
489,TRU HAIR AND SKIN,truhairandskin.com,Personal Care,https://truhairandskin.com/
490,True Elements,true-elements.com,Health Foods,https://www.true-elements.com/
492,Trycone,trycone.com,Beauty & Grooming,https://trycone.com/
495,Tummy Pops,tummypops.com,Digestives & Snacks,https://tummypops.com/
497,TURTLE WAX,turtlewax.com,Automotive Care,https://www.turtlewax.com/
499,TYC Beauty,tycbeauty.com,Cosmetics,https://tycbeauty.com/
500,Udyan Tea,udyantea.com,Tea,https://www.udyantea.com/
501,UltraCare Pro,ultracarepro.in,Healthcare Devices,https://www.ultracarepro.in/
502,UNIBIC,unibicfoods.com,Biscuits & Cookies,https://www.unibicfoods.com/
504,UPAKARMA Ayurveda,upakarma.com,Ayurveda,https://upakarma.com/
506,Urban Forest,urbanforest.co.in,Accessories,https://urbanforest.co.in/
507,Urban Scottish,urbanscottish.com,Apparel,https://www.urbanscottish.com/
510,VAHDAM® India,vahdam.com,Tea,https://www.vahdam.com/
511,VarEesha,vareesha.com,Home & Kitchen,https://vareesha.com/
512,Vediko Origins,vediko.in,Natural Foods,https://www.vediko.in/
513,Vega,vega.co.in,Beauty Tools,https://www.vega.co.in/
515,VELBIOM,velbiom.com,Healthcare,https://www.velbiom.com/
517,VILLAIN,villain.in,Men's Grooming,https://www.villain.in/
520,VITABIOTICS,vitabiotics.in,Supplements,https://www.vitabiotics.in/
521,Vlado's Himalayan Organics,himalayanorganics.in,Health & Wellness,https://himalayanorganics.in/
524,VOYLLA,voylla.com,Jewelry,https://www.voylla.com/
525,VS MANI & Co,vsmani.com,Snacks,https://www.vsmani.com/
527,Warmex,warmexhomeappliances.com,Home Appliances,https://warmexhomeappliances.com/
528,WeCool,wecool.in,Electronics,https://wecool.in/
529,Wellbeing Nutrition,wellbeingnutrition.com,Health Supplements,https://wellbeingnutrition.com/
532,What's Up Wellness,whatsupwellness.in,Health & Wellness,https://whatsupwellness.in/
533,WickedGud,wickedgud.com,Snacks & Pasta,https://wickedgud.com/
534,WILD DATE,wilddate.in,Snacks,https://wilddate.in/
535,Wildcraft,wildcraft.com,Apparel & Gear,https://www.wildcraft.com/
536,WildHorn,wildhorn.in,Leather Accessories,https://wildhorn.in/
537,Winston,winstonindia.com,Beauty Tools,https://winstonindia.com/
538,Wiselife,wiselife.in,Kitchen & Wellness,https://wiselife.in/
539,Wonderland Foods,wonderlandfoods.com,Dry Fruits,https://www.wonderlandfoods.com/
540,Woodland,woodlandworldwide.com,Footwear & Apparel,https://www.woodlandworldwide.com/
541,xtrim,xtrimusa.com,Fitness Equipment,https://xtrimusa.com/
542,XYXX,xyxxcrew.com,Men's Innerwear,https://xyxxcrew.com/
543,Yogabar,yogabars.in,Health Snacks,https://www.yogabars.in/
545,YOHO,yoho.in,Footwear,https://yoho.in/
547,Zandu,zanducare.com,Ayurveda & Health,https://www.zanducare.com/
549,Zeiss,zeiss.co.in,Optics,https://www.zeiss.co.in/
550,Zindagi,zindagiproducts.com,Health & Wellness,https://zindagiproducts.com/
551,Zoff Food,zofffoods.com,Spices,https://zofffoods.com/
554,10club,10club.com,E-commerce Aggregator,https://www.10club.com/
555,1868 by TATA TEA,tatatea1868.com,Tea & Beverages,https://www.tatatea1868.com/
556,24 Mantra Organic,24mantra.com,Organic Foods,https://www.24mantra.com/
557,4700BC,4700bc.com,Snacks & Popcorn,https://4700bc.com/
